Term, count
focus,16
e-cigarette,16
past,16
public,16
frequency,16
level,16
receiving,16
many,16
access,16
colon,16
concerns,16
experiences,16
fit,16
reduced,16
cessation,16
centers,16
assessment,15
influence,15
adjusting,15
male,15
never,15
expression,15
tested,15
x,15
could,15
scale,15
psychosocial,15
given,15
end,15
program,15
versus,15
perceptions,15
relative,15
general,15
early,15
hormone,15
sensitivity,15
30,15
hr,15
self-efficacy,15
due,14
pain,14
response,14
change,14
fat,14
percent,14
china,14
defined,14
gene,14
heroin,14
ancestry,14
65,14
subjects,14
analyzed,14
independent,14
score,14
health-related,14
approximately,14
epidemiology,14
predictors,14
claims,14
proportion,14
localized,14
performed,14
mammograms,14
7,14
serum,14
annual,14
hormonal,14
explained,14
counseling,14
communication,14
guidelines,14
eac,14
pa,14
system,13
decreased,13
18,13
understanding,13
objectives,13
frequently,13
0.05,13
polymorphisms,13
tests,13
24,13
hospital,13
questionnaires,13
subsequent,13
13,13
median,13
radiologists,13
randomized,13
blood,13
long-term,13
services,13
lyg,13
complications,13
growth,13
factor,13
cross-sectional,13
exposed,13
indoor,13
intakes,13
development,13
count,13
fertility,13
young,13
media,13
quit,13
consistent,12
sex,12
little,12
relationships,12
predicted,12
review,12
whereas,12
treated,12
knowledge,12
personal,12
75,12
five,12
standard,12
followed,12
ii,12
needed,12
determine,12
every,12
lymphedema,12
california,12
outcome,12
additional,12
united,12
race/ethnicity,12
records,12
provided,12
detected,12
performance,12
state,12
african-american,12
previously,12
recommended,12
percentage,12
likelihood,12
electronic,12
er,12
provide,12
disparity,12
youth,12
discussion,12
obesity,12
abnormal,12
ayas,12
tanning,12
benefits,11
samples,11
assessments,11
small,11
condition,11
demographic,11
+/-,11
increases,11
surveys,11
understand,11
food,11
consumption,11
snp,11
16,11
urban,11
cognitive,11
persons,11
female,11
interview,11
prevention,11
following,11
sexual,11
obtained,11
receive,11
cost,11
aggressive,11
comorbidities,11
recommendations,11
31,11
help,11
enrolled,11
perception,11
activities,11
recall,11
racial,11
authors,11
mammographic,11
efficacy,11
gera,11
feedback,11
folate,11
content,11
acid,11
item,11
well-being,11
product,11
erbeta,11
limited,11
enrollment,11
energy,11
.001,11
gleason,11
initial,11
type,11
emotional,11
metabolites,11
campaign,11
louisiana,11
statistical,10
suggests,10
experience,10
acute,10
area,10
obese,10
postmenopausal,10
gender,10
average,10
45,10
cities,10
four,10
elevated,10
providers,10
criteria,10
center,10
cox,10
hazard,10
moderate,10
sf-36,10
oxaliplatin,10
might,10
linear,10
times,10
malpractice,10
questions,10
key,10
indicate,10
environmental,10
patient-reported,10
20,10
estrogen,10
biomarkers,10
modeling,10
difference,10
dietary,10
available,10
females,10
/=,10
utilization,10
cancer-related,10
efforts,10
difficulty,10
oop,10
ul,10
satisfaction,10
partners,10
phthalate,10
cancer-directed,10
p53,10
often,9
examination,9
importance,9
introduction,9
systems,9
trend,9
e-cigarettes,9
controlling,9
chinese,9
alcohol,9
products,9
normal,9
case-control,9
management,9
literature,9
uptake,9
attention,9
aimed,9
plan,9
minority,9
absence,9
coping,9
2003,9
sociodemographic,9
set,9
ratios,9
classified,9
iii,9
database,9
treatments,9
skin,9
8,9
region,9
out-of-pocket,9
half,9
estimates,9
false-positive,9
showed,9
adverse,9
yet,9
domains,9
representative,9
concentrations,9
strongly,9
investigated,9
novel,9
fecal,9
benefit,9
resilience,9
community,9
questionnaire,9
preservation,9
uninsured,9
ever,9
genes,9
addition,9
would,9
behavior,9
method,9
record,9
marijuana,9
improved,9
decision-making,9
predictive,9
part,9
cd,9
cervical,9
day,9
motivation,9
triggers,9
correlation,9
conflict,9
racism,9
parenting,9
blacks,9
wound,9
facility,9
jersey,9
pcps,9
stressor,8
interactions,8
duration,8
beta,8
eating,8
emerging,8
protective,8
experienced,8
according,8
heavy,8
receptor,8
european,8
loci,8
replication,8
allele,8
six,8
present,8
practice,8
either,8
facilitators,8
living,8
source,8
fewer,8
different,8
decision,8
result,8
considered,8
proportional,8
hazards,8
clinically,8
eligible,8
seer,8
underwent,8
variation,8
longitudinal,8
setting,8
phase,8
$,8
much,8
-,8
worse,8
screened,8
cell,8
approach,8
economic,8
remained,8
relation,8
correlated,8
premenopausal,8
cumulative,8
confirmed,8
students,8
diverse,8
experimental,8
methylation,8
sites,8
bmi,8
invasive,8
poorer,8
provides,8
inflammation,8
adt,8
2000,8
smokeless,8
trials,8
variant,8
occupational,8
gwas,8
aa,8
promote,8
nevus,8
previous,8
home,8
child,8
mug/ml,8
measure,8
meeting,8
interpersonal,8
menopause,8
26,8
couples,8
cirrhosis,8
aas,8
mutation,8
endoscopy,8
obtaining,8
weeks,8
latino,8
caregivers,8
examining,7
regardless,7
presence,7
cardiovascular,7
responses,7
investigate,7
shorter,7
third,7
varied,7
via,7
25,7
transitions,7
employed,7
spent,7
biological,7
sought,7
policies,7
usual,7
developing,7
survivorship,7
york,7
topics,7
useful,7
issues,7
active,7
trends,7
nurses,7
stages,7
standardized,7
surgical,7
ability,7
predict,7
telephone,7
main,7
participated,7
arm,7
substantial,7
opportunity,7
effective,7
direct,7
poor,7
post-diagnosis,7
strong,7
linked,7
covariates,7
especially,7
underserved,7
addressing,7
lowest,7
settings,7
almost,7
ethnic,7
registries,7
measurements,7
explain,7
recruited,7
delayed,7
recently,7
nonwhites,7
largely,7
pesticide,7
developed,7
occult,7
range,7
harm,7
implementation,7
smoke-free,7
validation,7
project,7
nutrient,7
bias,7
process,7
discovery,7
variants,7
highest,7
healthy,7
vo2,7
crp,7
vitality,7
sex-specific,7
newly,7
yr,7
androgen,7
one-carbon,7
focm,7
framework,7
ratings,7
genome-wide,7
referral,7
childhood,7
practices,7
uc,7
leukemia,7
lounges,7
amino,7
case,7
specificity,7
menopausal,7
include,7
cris,7
compassion,7
oncologists,7
selected,7
positions,7
srh,7
mistrust,7
roles,7
air,7
sun,7
2005,7
imrt,7
caregiver,7
characterized,6
potentially,6
measurement,6
predicting,6
good,6
relatively,6
inconsistent,6
significance,6
calculated,6
larger,6
major,6
prognostic,6
visit,6
.05,6
period,6
loss,6
prognosis,6
adulthood,6
indicating,6
explored,6
critical,6
western,6
oprm1,6
functional,6
single,6
human,6
biology,6
cbsm,6
consistently,6
lack,6
value,6
hundred,6
oncology,6
financial,6
susceptibility,6
9,6
and/or,6
symptom,6
majority,6
identifying,6
regular,6
progression,6
i.e.,6
none,6
severity,6
regarding,6
2007,6
2006,6
accounted,6
elderly,6
39,6
reducing,6
members,6
excellent,6
remains,6
noncancer,6
bone,6
urinary,6
school,6
mailed,6
28,6
summary,6
enrollees,6
greatest,6
diagnoses,6
plans,6
regions,6
degree,6
concern,6
substantially,6
asian,6
native,6
1.2,6
node,6
involvement,6
providing,6
tailored,6
secondary,6
participant,6
comparable,6
signaling,6
events,6
currently,6
institute,6
families,6
nationally,6
declined,6
birth,6
confounders,6
exposures,6
intensity,6
therapeutic,6
inform,6
harms,6
sigmoidoscopy,6
1000,6
aspects,6
eudaimonic,6
international,6
instruments,6
e.g.,6
24hrs,6
university,6
categories,6
characterize,6
pathway,6
approaches,6
omega-3,6
facilities,6
conservative,6
remain,6
opportunities,6
cigars,6
matched,6
red,6
nutrients,6
fits,6
increasingly,6
os,6
another,6
asbestos,6
natural,6
ors,6
markers,6
types,6
lounge,6
&,6
classifier,6
agents,6
environments,6
preliminary,6
capital,6
ra,6
lmi,6
lmis,6
/=5,6
presentation,6
aor,6
health-care,6
walkability,6
pollution,6
rank,6
fobt,6
minutes,6
ppt-s,6
sarcopenia,6
resolution,6
hrr,6
hrt,6
alliance,6
stressors,5
daily,5
everyday,5
contrast,5
responsiveness,5
awakening,5
neck,5
combining,5
demonstrate,5
gain,5
heal,5
obtain,5
step,5
lifetime,5
city,5
cohorts,5
haplotype,5
systematic,5
specifically,5
healthcare,5
met,5
preferences,5
understood,5
ongoing,5
visits,5
work,5
generally,5
diseases,5
anxiety,5
occurred,5
vary,5
similarity,5
2002,5
indicators,5
documented,5
cut-scores,5
category,5
validity,5
undergoing,5
51,5
effectiveness,5
formally,5
complete,5
components,5
short,5
areas,5
confounding,5
net,5
expected,5
recipients,5
radiation,5
screening-detected,5
80,5
appropriate,5
prevent,5
address,5
materials,5
involved,5
necessary,5
washington,5
environment,5
december,5
equations,5
returned,5
hypothesis,5
consortium,5
1.3,5
high-grade,5
evaluations,5
contribute,5
make,5
designed,5
site,5
improvement,5
targeted,5
safety,5
making,5
clinicians,5
waves,5
panel,5
implications,5
aim,5
pesticides,5
ocps,5
dpoaes,5
way,5
reduction,5
dna,5
ne,5
inclusion,5
detection,5
measuring,5
health-plan,5
cogstate,5
bars,5
calibration,5
protein,5
qualitative,5
oral,5
replacement,5
stop,5
retrospective,5
oncologist,5
expenditure,5
wide,5
oxygen,5
youth-met,5
mineral,5
mice,5
studied,5
problems,5
participating,5
tertile,5
.01,5
aya,5
made,5
awareness,5
describe,5
radiotherapy,5
hookahs,5
candidate,5
pr,5
office,5
routine,5
earlier,5
relevant,5
seeking,5
60,5
seen,5
suggested,5
genome,5
top,5
around,5
targets,5
epidemiologic,5
hmos,5
chest,5
undergo,5
53,5
neither,5
irrs,5
irr,5
subtypes,5
differed,5
dm,5
whi,5
timely,5
collected,5
foods,5
nsclc,5
controlled,5
users,5
delivery,5
interviewed,5
free,5
pediatric,5
autonomous,5
endorsed,5
quitters,5
mediated,5
``,5
'',5
phip,5
meat,5
c,5
hla-drbeta1,5
parental,5
spouses,5
indicated,5
protection,5
household,5
asphalt,5
hnscc,5
parents,5
coefficients,5
1998,5
delay,5
2sfca,5
prescription,5
drug,5
june,5
brca1,5
evaluation,5
sadrs,5
maternal,5
constructive,5
znf804a,5
even,4
within-person,4
revealed,4
decreases,4
availability,4
41,4
concentration,4
0.02,4
recurrence,4
lean,4
later,4
covariance,4
gained,4
21,4
experiencing,4
pilot,4
point,4
two-thirds,4
explore,4
drinking,4
engaged,4
located,4
resulted,4
haplotypes,4
suggestive,4
postintervention,4
depressive,4
additionally,4
search,4
compliance,4
barrier,4
local,4
77,4
still,4
stated,4
considering,4
week,4
targeting,4
self-report,4
worry,4
cis,4
epithelial,4
appear,4
piper,4
version,4
mild,4
severe,4
demographics,4
0,4
enhance,4
guide,4
geographic,4
-medicare,4
census,4
resulting,4
ie,4
2.8,4
exercise,4
woman,4
probability,4
stronger,4
reflect,4
66,4
pooled,4
eg,4
15,4
usa,4
70,4
describes,4
registry,4
managed,4
component,4
examinations,4
modeled,4
estimating,4
full,4
caused,4
extremely,4
u.s.,4
countries,4
various,4
databases,4
affected,4
1.4,4
1.1,4
lymph,4
attenuated,4
eliminated,4
limitations,4
best,4
web-based,4
points,4
implementing,4
intensive,4
pancreatic,4
highly,4
improving,4
promising,4
reports,4
develop,4
2009,4
observational,4
high-quality,4
hours,4
metabolite,4
influenced,4
relating,4
prenatal,4
atypical,4
hyperplasia,4
lobules,4
sum,4
preventive,4
2008,4
comparative,4
microsimulation,4
flexible,4
85,4
modality,4
relevance,4
processes,4
implicated,4
structural,4
equation,4
constructs,4
regional,4
compare,4
40-49,4
self-administered,4
working,4
investigators,4
reference,4
instrument,4
values,4
overestimated,4
article,4
place,4
items,4
attitudes,4
assessing,4
established,4
myeloid,4
reproductive,4
contraceptive,4
molecular,4
pathways,4
lacking,4
phenotype,4
black-white,4
examines,4
illness,4
metric,4
height,4
procedures,4
kg/m2,4
contributed,4
24-month,4
pufas,4
feasibility,4
acceptability,4
volume,4
raising,4
college,4
15-yr,4
cancer-specific,4
pcsm,4
therapies,4
5-7,4
8-10,4
subset,4
initiated,4
whose,4
suggesting,4
basis,4
domain,4
continue,4
cause,4
features,4
adolescents,4
hereditary,4
onset,4
syndrome,4
along,4
continued,4
sessions,4
counselor,4
predictor,4
long,4
caucasian,4
carriers,4
-7,4
combination,4
cpg,4
hboc,4
ensure,4
determined,4
sentinel,4
validated,4
1995,4
pregnancy,4
smoked,4
aims,4
lp,4
bhba,4
early-stage,4
carcinoma,4
2013,4
nutrition,4
0.0001,4
gifts,4
sources,4
all-cause,4
procedure,4
independently,4
days,4
promis,4
ptrend,4
applied,4
hla,4
korean,4
descent,4
2+,4
convergence,4
preference,4
addictive,4
facilitating,4
low-income,4
mmr,4
mlh1,4
deleterious,4
asians,4
combined,4
clinic,4
spearman,4
b,4
doctor,4
since,4
hispanics,4
class,4
digital,4
deaths,4
posttraumatic,4
constructed,4
2001,4
breast-cancer-specific,4
postoperative,4
banks,4
fsg,4
symptomatic,4
ca,4
cigarettes/day,4
size,4
priority,4
patient-oncologist,4
enhanced,3
age-related,3
existing,3
yielded,3
coordinated,3
discuss,3
curve,3
22,3
23,3
representing,3
arterial,3
pressure,3
heart,3
demonstrated,3
laboratory,3
heightened,3
0-iiia,3
scans,3
68,3
transition-to-adulthood,3
themes,3
know,3
accumulated,3
identification,3
separate,3
ethnicity,3
cluster,3
seven,3
consumed,3
television,3
binge,3
nucleotide,3
brain,3
putative,3
-5,3
rs3778150,3
intron,3
replicated,3
4.3,3
-6,3
2.7,3
show,3
assigned,3
comparison,3
encouraging,3
abstracted,3
married,3
facilitator,3
commonly,3
dual,3
medicaid,3
particular,3
paid,3
modifiable,3
scp,3
surveyed,3
nonmetastatic,3
hospitals,3
98,3
100,3
44,3
event,3
second,3
positively,3
means,3
dependent,3
exams,3
strongest,3
mood,3
supports,3
link,3
antidepressant,3
persistent,3
meaningful,3
pfs-r,3
decrements,3
cut-score,3
construct,3
treating,3
exists,3
2004,3
resection,3
includes,3
poisson,3
35,3
poverty,3
tract,3
rapidly,3
rehabilitation,3
rather,3
addressed,3
directly,3
expenditures,3
price,3
thus,3
phases,3
rectal,3
approved,3
beneficiaries,3
differential,3
pay,3
antigen,3
36,3
concerning,3
asked,3
14,3
0.03,3
pcs,3
mcs,3
consent,3
1996,3
adjust,3
64,3
responded,3
described,3
expressed,3
43,3
biopsy,3
reasons,3
participate,3
pathology,3
stratified,3
choices,3
ways,3
people,3
offers,3
insured,3
resource,3
negatively,3
insights,3
randomization,3
prompt,3
screen,3
promoting,3
nicotinic,3
influences,3
preventing,3
neurotransmitters,3
staff,3
mechanism,3
terminology,3
presents,3
employment,3
growing,3
alone,3
atypia,3
+,3
0.04,3
target,3
balance,3
unscreened,3
40-year-olds,3
ctc,3
55,3
required,3
start,3
unclear,3
adrenergic,3
error,3
surrounding,3
computerized,3
professionals,3
agreed,3
comprehensive,3
implemented,3
workplaces,3
restaurants,3
itc,3
decline,3
elements,3
boston,3
exploratory,3
subgroups,3
leukaemia,3
occur,3
adenoma,3
mutational,3
recurrent,3
datasets,3
discovered,3
single-nucleotide,3
private,3
cycle,3
amer1,3
mechanisms,3
apart,3
silico,3
two-sided,3
equally,3
66-70,3
length,3
expressing,3
resting,3
metabolic,3
absolute,3
allometric,3
moderate-to-vigorous,3
scaling,3
light,3
vigorous,3
ranging,3
overweight,3
osteoporosis,3
drawn,3
=50,3
mitotic,3
excess,3
13.9,3
1.14,3
12-month,3
iiia,3
fatigued,3
shown,3
omega-6,3
scales,3
medication,3
medically,3
interviews,3
morbidity,3
maintain,3
adolescent,3
arrangements,3
finally,3
highlight,3
covered,3
/=65,3
deprivation,3
2011,3
5.7,3
corresponding,3
detailed,3
choice,3
descriptive,3
40-64,3
outside,3
county,3
nicotine,3
goal,3
carolina,3
weighted,3
6.1,3
thirds,3
initiation,3
non-cigarette,3
respect,3
initiative,3
plasma,3
reductase,3
noted,3
leading,3
network,3
offices,3
eight,3
400,3
orbit,3
movement,3
lot,3
effort,3
2.0,3
adolescence,3
old,3
consequences,3
insight,3
decisions,3
ca125,3
proportions,3
affective,3
million,3
pfs,3
eoc,3
1.0,3
age-,3
1.26,3
ea,3
elucidate,3
91,3
high-risk,3
delaying,3
nevi,3
favorable,3
10-year,3
subgroup,3
play,3
prudent,3
quartile,3
situ,3
unknown,3
1.20,3
differ,3
unrelated,3
unconditional,3
random,3
friends,3
adenocarcinoma,3
mrs,3
prediction,3
poc,3
administration,3
administered,3
published,3
focused,3
date,3
campaigns,3
gcgh,3
towards,3
analysed,3
leadership,3
others,3
physician-patient,3
suffering,3
statements,3
49,3
elixhauser,3
5-year,3
prevalent,3
provider,3
in-person,3
sweets,3
distribution,3
example,3
trigger,3
motivate,3
0.74,3
belief,3
channels,3
articles,3
2010,3
1.13,3
grade,3
possibly,3
terf1,3
former,3
2015,3
4-amino,3
transition,3
highlights,3
marriage,3
trajectories,3
imaging,3
cl,3
interquartile,3
0.42,3
mothers,3
mediating,3
homeless,3
bws,3
objects,3
roll-your-own,3
messages,3
believing,3
supportive,3
conditions,3
chicago,3
add,3
lynch,3
msh2,3
ambient,3
business,3
1.16,3
1.84,3
devices,3
technologies,3
english,3
islander,3
analyze,3
becoming,3
exam,3
determinants,3
min.d,3
st,3
abstinence,3
multiethnic,3
pf,3
adenomas,3
neoplasia,3
postdiagnostic,3
i-iii,3
appalachia,3
phthalates,3
reproducibility,3
suppression,3
2005.,3
nhis-ccm,3
longer,3
brca2,3
ilnd,3
july,3
30-day,3
.0001,3
term,3
1.5,3
diffusion,3
iv,3
latinos,3
disproportionate,3
minorities,3
clinics,3
pragmatic,3
establishing,3
fresh,3
p=0.03,3
hct,3
acquired,3
ses,3
private/military,3
spiritual,3
decisional,3
southern,3
wall,3
incontinence,3
regulation,2
terms,2
ecological,2
momentary,2
end-of-day,2
diary,2
mixed,2
pattern,2
stressor-negative,2
power,2
repeated,2
detect,2
virtue,2
auc,2
slopes,2
threat,2
regressed,2
x-ray,2
absorptiometry,2
1.7,2
2.1,2
74,2
postdiagnosis,2
next,2
involve,2
looking,2
health-risk,2
utilized,2
ex-smokers,2
residence,2
vegetables,2
fruits,2
dairy,2
opioid,2
rs1799971,2
plausibility,2
altering,2
tissue,2
103,2
rna,2
prefrontal,2
cortex,2
quantitative,2
cis-eqtl,2
smallest,2
meta-analysis,2
-8,2
rs3778150-c,2
replicable,2
wait-list,2
76,2
hierarchical,2
group-based,2
feasible,2
eligibility,2
partner,2
needs,2
knew,2
99,2
distant,2
helping,2
cope,2
126,2
inventory,2
epidemiological,2
elected,2
brief,2
avoidant,2
reliably,2
national-level,2
ever-had,2
hints,2
possible,2
prospectively,2
physician-diagnosed,2
hrs,2
modestly,2
1.34,2
1.28,2
confirm,2
pfs-12,2
1-3,2
3-5,2
threshold,2
planning,2
patient/tumor,2
comparing,2
56,2
rectum,2
37,2
variations,2
illinois,2
290,2
160,2
decongestive,2
manual,2
lymphatic,2
drainage,2
bandages,2
compression,2
relied,2
regressions,2
entry,2
form,2
subscale,2
resources,2
payments,2
generalized,2
non-crc,2
2.9,2
counterparts,2
nonsignificant,2
psa,2
led,2
selection,2
or=,2
educated,2
healthier,2
90,2
appeared,2
51.6,2
45.2,2
transportation,2
16.1,2
persists,2
actual,2
community-based,2
informed,2
january,2
2001.,2
143,2
122,2
claim,2
14.8,2
question,2
123,2
72,2
58.5,2
greatly,2
interpretation,2
difficult,2
ascertain,2
programs,2
inadequate,2
advanced-stage,2
persisted,2
higher-grade,2
reach,2
delivered,2
web,2
improvements,2
powerful,2
subsequently,2
offered,2
univariate,2
feeling,2
preclinical,2
beta-adrenergic,2
hyperactive,2
beta-blockers,2
gamma-aminobutyric,2
profile,2
essential,2
researchers,2
efficiency,2
clinician,2
software,2
hardship,2
beyond,2
aggregate,2
1990,2
age-adjusted,2
derive,2
worked,2
dropped,2
hcb,2
beta-hch,2
4-chlorophenyl,2
p'-ddt,2
humans,2
bmcs,2
hearing,2
suppressor,2
stratification,2
staining,2
conferred,2
uspstf,2
optimal,2
life-years,2
sensitive,2
immunochemical,2
stool,2
computed,2
starting,2
assumed,2
incremental,2
beginning,2
empirical,2
physiologic,2
histological,2
root,2
square,2
approximation,2
root-mean-squared,2
residual,2
histology,2
organized,2
occurrence,2
utility,2
battery,2
cognition,2
-0.08,2
units,2
0.27,2
aging,2
numerous,2
advantages,2
largest,2
secondhand,2
shs,2
law,2
regulations,2
places,2
800,2
minimal,2
bans,2
order,2
achieve,2
calibrating,2
self-reports,2
comprising,2
recovery,2
attenuation,2
correlations,2
truth,2
potassium,2
sodium,2
densities,2
derived,2
ffq,2
coefficient,2
intuitive,2
dimensions,2
theory,2
massachusetts,2
thoughts,2
encourage,2
generated,2
modest,2
explanation,2
subtype,2
oestrogen,2
differing,2
somatic,2
throughout,2
42,2
copy,2
heterogeneity,2
emerged,2
losses,2
exhibited,2
exist,2
medicare-insured,2
16.4,2
equal,2
metrics,2
compendium,2
947,2
sedentary,2
completely,2
perspective,2
adiposity,2
hormones,2
ovariectomized,2
c57bl/6,2
extreme,2
epidemic,2
73,2
52.1,2
rapid,2
therefore,2
in-situ,2
survivor,2
norms,2
fatty,2
acids,2
c-reactive,2
form-36,2
pufa,2
.003,2
2.6,2
multiphasic,2
van,2
informant,2
mobile,2
build,2
reasonable,2
options,2
2.91,2
action,2
require,2
conservatively,2
initially,2
cryotherapy,2
competing-risk,2
65-74,2
face,2
module,2
last,2
hmo,2
universities,2
north,2
bidis/kreteks,2
2.2,2
started,2
facilitated,2
investigations,2
metabolism,2
modified,2
tagging,2
genotyped,2
pairs,2
plp,2
b12,2
homocysteine,2
modification,2
relations,2
methylenetetrahydrofolate,2
mthfd1,2
mtrr,2
tyms,2
nominal,2
dnmt3b,2
methionine,2
charge,2
handed,2
92,2
84,2
expensive,2
followed-up,2
hold,2
promise,2
fundamental,2
progressive,2
prespecified,2
milestones,2
forward,2
refinement,2
designs,2
psycinfo,2
causes,2
requiring,2
everything,2
follow,2
complex,2
develops,2
ethnically,2
inherited,2
architecture,2
examples,2
progress,2
lead,2
mastectomy,2
linguistic,2
intentions,2
challenge,2
imputed,2
enrichment,2
rs6674079,2
1q22,2
lncrnas,2
rp11-284f21.8,2
mirlet7bhg,2
rs13053856,2
rs11090910,2
rs11703832,2
rs12170325,2
heterozygous,2
homozygous,2
1.24,2
underlying,2
poorly,2
indicates,2
etiologic,2
investigation,2
maintenance,2
organizations,2
organizational,2
0.70,2
3.4,2
unable,2
p=0.002,2
13.8,2
counts,2
crude,2
melanomas,2
0.22,2
pathogenesis,2
person-years,2
fish,2
0.06,2
offering,2
uterine,2
responsive,2
biennial,2
183,2
slightly,2
1.39,2
lymphoblastic,2
1.55,2
1.32,2
1.54,2
aml,2
1.49,2
1.02,2
173,2
1.08,2
periods,2
attendance,2
visiting,2
closest,2
miles,2
away,2
close,2
proximity,2
vulnerable,2
smoker,2
consisting,2
manner,2
mrs.,2
hybrid,2
post-menopausal,2
fallopian,2
select,2
ct,2
composed,2
he4,2
dissemination,2
excluded,2
47,2
intravenous,2
showing,2
conceptual,2
methodological,2
regulate,2
policy,2
aromatic,2
reproducibly,2
vitro,2
animal,2
receptors,2
metastatic,2
production,2
neurotransmitter,2
collectively,2
printouts,2
answer,2
chart,2
adherent,2
comprised,2
no-contact,2
asking,2
giving,2
appointment,2
post-campaign,2
recalled,2
71,2
campaign-targeted,2
1.62,2
perhaps,2
failures,2
self-management,2
screenings,2
adopted,2
room,2
problem,2
consider,2
systematically,2
document,2
communicate,2
taxonomy,2
compassionate,2
audio,2
recorded,2
resonance,2
course,2
instances,2
facilitate,2
administrative,2
1992,2
1996.,2
klabunde,2
indices,2
c-statistic,2
adding,2
acgs,2
robust,2
interest,2
five-year,2
6-15,2
1,361,2
1994,2
acquire,2
0.93,2
4.8,2
partly,2
attributed,2
onto,2
lymphoma,2
nhl,2
2012-2013,2
hematologist/oncologists,2
25-29,2
macronutrients,2
food-frequency,2
calories,2
high-fat,2
snacks,2
desserts,2
sweet,2
linearly,2
9.8,2
0.69,2
insulin-related,2
promotion,2
tools,2
moderated,2
'very,2
quitting,2
warning,2
labels,2
less-educated,2
produced,2
advice,2
1.45,2
say,2
individually,2
quality-of-life,2
presented,2
1991,2
psychometrically,2
angeles,2
widely,2
promis-sexual,2
cooking,2
4,5-f,2
quinoxaline,2
meiqx,2
dimeiqx,2
mdm,2
bottom,2
quintile,2
hcas,2
483,2
gwass,2
strategy,2
epistasis,2
go,2
gos,2
pair,2
afap1l2,2
pmeta-int,2
telomere,2
finding,2
gene-environment,2
ten,2
pinteraction,2
breastfeeding,2
partially,2
nongenetic,2
epidemiol,2
prev,2
aacr,2
define,2
rheumatoid,2
arthritis,2
alleles,2
eira,2
nhs,2
grs,2
position,2
ap,2
additive,2
prenatally,2
timing,2
immigration,2
residents,2
fast,2
deteriorating,2
bidirectional,2
